asset_id,asset_name,asset_category,vessel_or_terminal,location,manufacturer,running_hours,last_maintenance_date,next_planned_maintenance_date,health_score,failure_probability_percentage,remaining_useful_life_hours,criticality,predicted_failure_mode,recommended_action,spare_part_required,spare_part_availability,estimated_downtime_hours,estimated_failure_cost_usd,maintenance_status,owner,work_order_reference
MA-001,Main Engine 01,Main Engine,MV Horizon Star,Engine Room,Maritech Works,6756,2026-03-23,2026-07-29,82,27.5,1730,Low,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Available,12,254695,Monitoring,Unassigned,
MA-002,Auxiliary Engine 02,Auxiliary Engine,MV Ocean Crest,Machinery Space,Oceanic Systems,11032,2026-04-01,2026-09-24,63,47.6,909,Medium,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Low Stock,70,250399,Inspection Scheduled,Unassigned,
MA-003,Generator 03,Generator,MV Meridian,Generator Deck,Nordic Power,15487,2025-12-04,2026-08-11,53,45.2,1195,High,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Unavailable,55,329113,New,Unassigned,
MA-004,Pump 04,Pump,MV Blue Mariner,Pump Room,Harbour Dynamics,5837,2026-03-12,2026-08-25,89,11.9,1957,Critical,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Available,27,111852,In Progress,Unassigned,
MA-005,Turbocharger 05,Turbocharger,MV Atlas Wind,Berth 2,Maritech Works,16135,2025-09-10,2026-07-02,83,24.1,1712,Low,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Low Stock,22,185441,Completed,Unassigned,
MA-006,Quay Crane 06,Quay Crane,South Container Terminal,Yard A,Oceanic Systems,2061,2026-04-10,2026-10-22,81,17.1,1752,Medium,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Unavailable,46,84446,Monitoring,Unassigned,
MA-007,Terminal Tractor 07,Terminal Tractor,North Container Terminal,Reefer Stack,Nordic Power,23248,2026-04-01,2026-09-21,81,28.9,1373,High,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Available,63,203510,Inspection Scheduled,Unassigned,
MA-008,Reefer Power Unit 08,Reefer Power Unit,South Container Terminal,Engine Room,Harbour Dynamics,4501,2025-12-09,2026-08-02,85,18.8,1285,Critical,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Low Stock,13,182640,New,Unassigned,
MA-009,Main Engine 09,Main Engine,MV Meridian,Machinery Space,Maritech Works,3917,2026-01-27,2026-09-06,62,50.5,1100,Low,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Unavailable,7,196709,In Progress,Unassigned,
MA-010,Auxiliary Engine 10,Auxiliary Engine,MV Blue Mariner,Generator Deck,Oceanic Systems,13734,2025-10-29,2026-08-02,56,48.2,664,Medium,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Available,47,181400,Completed,Unassigned,
