anomaly_id,detected_timestamp,asset_category,asset_id,asset_name,location,vessel_or_terminal,parameter_name,current_value,expected_value,lower_threshold,upper_threshold,deviation_percentage,severity,anomaly_type,probable_cause,confidence_score,recommended_action,potential_consequence,owner,status,work_order_reference
ANM-0001,2026-07-22T16:00:00,Vessel Main Engine,ENG-001,MV Horizon Star Main Engine,Engine Room,MV Horizon Star,Exhaust temperature (°C),375.18,390.0,340.0,450.0,3.8,Low,Threshold breach,Fuel-injector imbalance,87.9,Review engine trend and inspect at next safe opportunity,Reduced propulsion efficiency or unplanned engine intervention,Digital Operations Analyst,New,
ANM-0002,2026-07-22T11:00:00,Vessel Main Engine,ENG-002,MV Ocean Crest Main Engine,Engine Room,MV Ocean Crest,Jacket-water temperature (°C),88.72,82.0,72.0,92.0,8.2,Medium,Rate-of-change,Cooling-flow restriction,85.9,Validate sensors and conduct machinery-space inspection,Reduced propulsion efficiency or unplanned engine intervention,Unassigned,New,
ANM-0003,2026-07-22T06:00:00,Vessel Main Engine,ENG-003,MV Meridian Main Engine,Engine Room,MV Meridian,Vibration (mm/s),4.81,4.2,0.0,7.0,14.5,High,Baseline deviation,Bearing wear trend,82.9,Review engine trend and inspect at next safe opportunity,Reduced propulsion efficiency or unplanned engine intervention,Unassigned,Acknowledged,
ANM-0004,2026-07-22T01:00:00,Vessel Main Engine,ENG-004,MV Blue Mariner Main Engine,Engine Room,MV Blue Mariner,Engine load (%),55.44,72.0,35.0,90.0,23.0,Critical,Persistent drift,Fuel-injector imbalance,97.8,Validate sensors and conduct machinery-space inspection,Reduced propulsion efficiency or unplanned engine intervention,Digital Operations Analyst,Monitoring,
ANM-0005,2026-07-21T20:00:00,Vessel Main Engine,ENG-005,MV Atlas Wind Main Engine,Engine Room,MV Atlas Wind,Fuel consumption (t/day),34.26,31.0,25.0,38.0,10.5,Medium,Threshold breach,Cooling-flow restriction,94.0,Review engine trend and inspect at next safe opportunity,Reduced propulsion efficiency or unplanned engine intervention,Unassigned,Inspection Initiated,
ANM-0006,2026-07-21T15:00:00,Vessel Main Engine,ENG-006,MV Gulf Pioneer Main Engine,Engine Room,MV Gulf Pioneer,Exhaust temperature (°C),457.08,390.0,340.0,450.0,17.2,High,Rate-of-change,Bearing wear trend,88.5,Validate sensors and conduct machinery-space inspection,Reduced propulsion efficiency or unplanned engine intervention,Unassigned,Closed,
ANM-0007,2026-07-21T10:00:00,Vessel Main Engine,ENG-007,MV Seaway Pearl Main Engine,Engine Room,MV Seaway Pearl,Jacket-water temperature (°C),60.68,82.0,72.0,92.0,26.0,Critical,Baseline deviation,Fuel-injector imbalance,96.7,Review engine trend and inspect at next safe opportunity,Reduced propulsion efficiency or unplanned engine intervention,Digital Operations Analyst,New,
ANM-0008,2026-07-21T05:00:00,Vessel Main Engine,ENG-008,MV Northern Light Main Engine,Engine Room,MV Northern Light,Vibration (mm/s),4.42,4.2,0.0,7.0,5.2,Low,Persistent drift,Cooling-flow restriction,82.4,Validate sensors and conduct machinery-space inspection,Reduced propulsion efficiency or unplanned engine intervention,Unassigned,Acknowledged,
ANM-0009,2026-07-22T14:00:00,Vessel Fuel Performance,VES-001,MV Meridian,At sea — simulated route,MV Meridian,Actual fuel consumption (t/day),30.1,29.0,24.0,36.0,3.8,Low,Threshold breach,Adverse simulated weather factor,93.0,"Review speed, trim and simulated weather assumptions",Higher voyage fuel consumption and arrival-plan variance,Digital Operations Analyst,New,
ANM-0010,2026-07-22T09:00:00,Vessel Fuel Performance,VES-002,MV Blue Mariner,At sea — simulated route,MV Blue Mariner,Vessel speed (kn),16.23,15.0,11.0,19.0,8.2,Medium,Rate-of-change,Hull-resistance trend,93.7,Compare voyage baseline and validate fuel meters,Higher voyage fuel consumption and arrival-plan variance,Unassigned,New,
ANM-0011,2026-07-22T04:00:00,Vessel Fuel Performance,VES-003,MV Atlas Wind,At sea — simulated route,MV Atlas Wind,Draft (m),9.23,10.8,8.0,13.5,14.5,High,Baseline deviation,Speed-profile variance,79.4,"Review speed, trim and simulated weather assumptions",Higher voyage fuel consumption and arrival-plan variance,Unassigned,Acknowledged,
ANM-0012,2026-07-21T23:00:00,Vessel Fuel Performance,VES-004,MV Gulf Pioneer,At sea — simulated route,MV Gulf Pioneer,Engine load (%),86.1,70.0,35.0,90.0,23.0,Critical,Persistent drift,Adverse simulated weather factor,82.8,Compare voyage baseline and validate fuel meters,Higher voyage fuel consumption and arrival-plan variance,Digital Operations Analyst,Monitoring,
ANM-0013,2026-07-21T18:00:00,Vessel Fuel Performance,VES-005,MV Seaway Pearl,At sea — simulated route,MV Seaway Pearl,Simulated weather factor,1.1,1.0,0.75,1.25,10.0,Medium,Threshold breach,Hull-resistance trend,97.8,"Review speed, trim and simulated weather assumptions",Higher voyage fuel consumption and arrival-plan variance,Unassigned,Inspection Initiated,
ANM-0014,2026-07-21T13:00:00,Vessel Fuel Performance,VES-006,MV Northern Light,At sea — simulated route,MV Northern Light,Actual fuel consumption (t/day),24.01,29.0,24.0,36.0,17.2,High,Rate-of-change,Speed-profile variance,84.8,Compare voyage baseline and validate fuel meters,Higher voyage fuel consumption and arrival-plan variance,Unassigned,Closed,
ANM-0015,2026-07-21T08:00:00,Vessel Fuel Performance,VES-007,MV Coral Bridge,At sea — simulated route,MV Coral Bridge,Vessel speed (kn),18.9,15.0,11.0,19.0,26.0,Critical,Baseline deviation,Adverse simulated weather factor,92.0,"Review speed, trim and simulated weather assumptions",Higher voyage fuel consumption and arrival-plan variance,Digital Operations Analyst,New,
ANM-0016,2026-07-21T03:00:00,Vessel Fuel Performance,VES-008,MV Eastern Venture,At sea — simulated route,MV Eastern Venture,Draft (m),11.36,10.8,8.0,13.5,5.2,Low,Persistent drift,Hull-resistance trend,82.2,Compare voyage baseline and validate fuel meters,Higher voyage fuel consumption and arrival-plan variance,Unassigned,Acknowledged,
ANM-0017,2026-07-22T12:00:00,Quay Crane,QC-01,Quay Crane 01,Berth 1,North Container Terminal,Vibration (mm/s),3.63,3.5,0.0,6.5,3.7,Low,Threshold breach,Hoist-drive wear trend,91.3,Inspect crane subsystem during the next controlled pause,Reduced crane availability or extended container cycle time,Digital Operations Analyst,New,
ANM-0018,2026-07-22T07:00:00,Quay Crane,QC-02,Quay Crane 02,Berth 2,South Container Terminal,Hydraulic pressure (bar),197.37,215.0,185.0,245.0,8.2,Medium,Rate-of-change,Hydraulic restriction,88.9,Validate instrumentation and review recent lift cycles,Reduced crane availability or extended container cycle time,Unassigned,New,
