task_id,created_timestamp,workflow_name,module_source,vessel_or_terminal,asset_or_reference,task_description,AI_recommendation,confidence_score,risk_level,human_approval_required,assigned_owner,due_date,status,automation_level,estimated_time_saved_minutes,estimated_value_usd,final_decision,decision_comment
AUT-0001,2026-07-23T08:00:00,Maintenance work-order drafting,Predictive Maintenance,Fleet-wide,REF-2600,Prepare synthetic maintenance work-order drafting output,Review the generated draft and approve only after human validation,72,Low,False,Unassigned,2026-07-23,Created,Level 1: Administrative assistance,15,120,,
AUT-0002,2026-07-23T05:00:00,Alert classification,Anomaly Detection,North Container Terminal,REF-2601,Prepare synthetic alert classification output,Review the generated draft and approve only after human validation,73,Medium,True,Digital Operations Analyst,2026-07-24,Under Review,Level 2: Decision recommendation,25,395,,
AUT-0003,2026-07-23T02:00:00,Voyage-delay notification,Voyage & Fuel Optimisation,South Container Terminal,REF-2602,Prepare synthetic voyage-delay notification output,Review the generated draft and approve only after human validation,74,High,True,Operations Manager,2026-07-25,Awaiting Approval,Level 3: Controlled execution after approval,35,670,,
AUT-0004,2026-07-22T23:00:00,Berth-plan adjustment recommendation,Fleet Overview,MV Horizon Star,REF-2603,Prepare synthetic berth-plan adjustment recommendation output,Review the generated draft and approve only after human validation,75,Low,False,Unassigned,2026-07-26,Approved,Level 1: Administrative assistance,45,945,,
AUT-0005,2026-07-22T20:00:00,Fuel-deviation review,Safety Monitoring,Fleet-wide,REF-2604,Prepare synthetic fuel-deviation review output,Review the generated draft and approve only after human validation,76,Medium,True,Digital Operations Analyst,2026-07-27,Rejected,Level 2: Decision recommendation,55,1220,,
AUT-0006,2026-07-22T17:00:00,Safety observation classification,Automation Centre,North Container Terminal,REF-2605,Prepare synthetic safety observation classification output,Review the generated draft and approve only after human validation,77,High,True,Operations Manager,2026-07-28,Executed,Level 3: Controlled execution after approval,65,1495,,
AUT-0007,2026-07-22T14:00:00,Corrective-action reminder,Predictive Maintenance,South Container Terminal,REF-2606,Prepare synthetic corrective-action reminder output,Review the generated draft and approve only after human validation,78,Low,False,Unassigned,2026-07-29,Created,Level 1: Administrative assistance,75,1770,,
AUT-0008,2026-07-22T11:00:00,Invoice exception review,Anomaly Detection,MV Horizon Star,REF-2607,Prepare synthetic invoice exception review output,Review the generated draft and approve only after human validation,79,Medium,True,Digital Operations Analyst,2026-07-30,Under Review,Level 2: Decision recommendation,85,2045,,
AUT-0009,2026-07-22T08:00:00,Cargo-document validation,Voyage & Fuel Optimisation,Fleet-wide,REF-2608,Prepare synthetic cargo-document validation output,Review the generated draft and approve only after human validation,80,High,True,Operations Manager,2026-07-31,Awaiting Approval,Level 3: Controlled execution after approval,15,2320,,
AUT-0010,2026-07-22T05:00:00,Reefer inspection request,Fleet Overview,North Container Terminal,REF-2609,Prepare synthetic reefer inspection request output,Review the generated draft and approve only after human validation,81,Low,False,Unassigned,2026-08-01,Approved,Level 1: Administrative assistance,25,2595,,
AUT-0011,2026-07-22T02:00:00,Daily management summary preparation,Safety Monitoring,South Container Terminal,REF-2610,Prepare synthetic daily management summary preparation output,Review the generated draft and approve only after human validation,82,Medium,True,Digital Operations Analyst,2026-07-23,Rejected,Level 2: Decision recommendation,35,120,,
AUT-0012,2026-07-21T23:00:00,Spare-parts reorder recommendation,Automation Centre,MV Horizon Star,REF-2611,Prepare synthetic spare-parts reorder recommendation output,Review the generated draft and approve only after human validation,83,High,True,Operations Manager,2026-07-24,Executed,Level 3: Controlled execution after approval,45,395,,
AUT-0013,2026-07-21T20:00:00,Maintenance work-order drafting,Predictive Maintenance,Fleet-wide,REF-2612,Prepare synthetic maintenance work-order drafting output,Review the generated draft and approve only after human validation,84,Low,False,Unassigned,2026-07-25,Created,Level 1: Administrative assistance,55,670,,
AUT-0014,2026-07-21T17:00:00,Alert classification,Anomaly Detection,North Container Terminal,REF-2613,Prepare synthetic alert classification output,Review the generated draft and approve only after human validation,85,Medium,True,Digital Operations Analyst,2026-07-26,Under Review,Level 2: Decision recommendation,65,945,,
