event_id,timestamp,event_type,detection_source,vessel_or_terminal,location,severity,description,persons_exposed,immediate_action,recommended_corrective_action,responsible_owner,due_date,status,overdue_flag,risk_score,evidence_reference,risk_level,owner,event_date
SE-0001,2026-07-23T08:00:00,Missing PPE,Synthetic camera event,North Container Terminal,Berth 1,Low,Synthetic missing ppe observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-15,New,False,32,SYN-EVID-0001,Low,Unassigned,2026-07-23
SE-0002,2026-07-23T04:00:00,Worker and vehicle proximity,Operator observation,South Container Terminal,Yard A,Medium,Synthetic worker and vehicle proximity observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-05,Acknowledged,False,50,SYN-EVID-0002,Medium,Unassigned,2026-07-23
SE-0003,2026-07-23T00:00:00,Restricted-area entry,Sensor alarm,MV Horizon Star,Workshop,High,Synthetic restricted-area entry observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-18,Under Review,True,91,SYN-EVID-0003,High,Unassigned,2026-07-23
SE-0004,2026-07-22T20:00:00,Unsafe lifting activity,Supervisor inspection,MV Meridian,Reefer Stack,Critical,Synthetic unsafe lifting activity observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-31,In Progress,False,87,SYN-EVID-0004,Critical,Unassigned,2026-07-23
SE-0005,2026-07-22T16:00:00,Person below suspended load,Synthetic camera event,North Container Terminal,Engine Room,Low,Synthetic person below suspended load observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-14,Closed,False,30,SYN-EVID-0005,Low,Unassigned,2026-07-23
SE-0006,2026-07-22T12:00:00,Vehicle speeding,Operator observation,South Container Terminal,Access Gate,Medium,Synthetic vehicle speeding observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-09,New,False,50,SYN-EVID-0006,Medium,Unassigned,2026-07-23
SE-0007,2026-07-22T08:00:00,Fire or smoke observation,Sensor alarm,MV Horizon Star,Berth 1,High,Synthetic fire or smoke observation observation for workflow demonstration,5,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-11,Acknowledged,False,75,SYN-EVID-0007,High,Unassigned,2026-07-23
SE-0008,2026-07-22T04:00:00,Oil or chemical spill,Supervisor inspection,MV Meridian,Yard A,Critical,Synthetic oil or chemical spill observation for workflow demonstration,5,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-14,Under Review,False,95,SYN-EVID-0008,Critical,Unassigned,2026-07-23
SE-0009,2026-07-22T00:00:00,Unsafe working at height,Synthetic camera event,North Container Terminal,Workshop,Low,Synthetic unsafe working at height observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-21,In Progress,True,44,SYN-EVID-0009,Low,Unassigned,2026-07-23
SE-0010,2026-07-21T20:00:00,Fatigue or excessive overtime,Operator observation,South Container Terminal,Reefer Stack,Medium,Synthetic fatigue or excessive overtime observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-16,Closed,False,50,SYN-EVID-0010,Medium,Unassigned,2026-07-23
SE-0011,2026-07-21T16:00:00,Near miss,Sensor alarm,MV Horizon Star,Engine Room,High,Synthetic near miss observation for workflow demonstration,2,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-02,New,False,69,SYN-EVID-0011,High,Unassigned,2026-07-23
SE-0012,2026-07-21T12:00:00,Equipment safety interlock alarm,Supervisor inspection,MV Meridian,Access Gate,Critical,Synthetic equipment safety interlock alarm observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-13,Acknowledged,False,99,SYN-EVID-0012,Critical,Unassigned,2026-07-23
SE-0013,2026-07-21T08:00:00,Missing PPE,Synthetic camera event,North Container Terminal,Berth 1,Low,Synthetic missing ppe observation for workflow demonstration,4,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-12,Under Review,True,38,SYN-EVID-0013,Low,Unassigned,2026-07-23
SE-0014,2026-07-21T04:00:00,Worker and vehicle proximity,Operator observation,South Container Terminal,Yard A,Medium,Synthetic worker and vehicle proximity observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-20,In Progress,True,64,SYN-EVID-0014,Medium,Unassigned,2026-07-23
SE-0015,2026-07-21T00:00:00,Restricted-area entry,Sensor alarm,MV Horizon Star,Workshop,High,Synthetic restricted-area entry observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-14,Closed,False,77,SYN-EVID-0015,High,Unassigned,2026-07-23
SE-0016,2026-07-20T20:00:00,Unsafe lifting activity,Supervisor inspection,MV Meridian,Reefer Stack,Critical,Synthetic unsafe lifting activity observation for workflow demonstration,5,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-07,New,False,95,SYN-EVID-0016,Critical,Unassigned,2026-07-23
SE-0017,2026-07-20T16:00:00,Person below suspended load,Synthetic camera event,North Container Terminal,Engine Room,Low,Synthetic person below suspended load observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-09,Acknowledged,False,32,SYN-EVID-0017,Low,Unassigned,2026-07-23
SE-0018,2026-07-20T12:00:00,Vehicle speeding,Operator observation,South Container Terminal,Access Gate,Medium,Synthetic vehicle speeding observation for workflow demonstration,2,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-18,Under Review,True,54,SYN-EVID-0018,Medium,Unassigned,2026-07-23
SE-0019,2026-07-20T08:00:00,Fire or smoke observation,Sensor alarm,MV Horizon Star,Berth 1,High,Synthetic fire or smoke observation observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-14,In Progress,True,91,SYN-EVID-0019,High,Unassigned,2026-07-23
SE-0020,2026-07-20T04:00:00,Oil or chemical spill,Supervisor inspection,MV Meridian,Yard A,Critical,Synthetic oil or chemical spill observation for workflow demonstration,5,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-02,Closed,False,95,SYN-EVID-0020,Critical,Unassigned,2026-07-23
SE-0021,2026-07-20T00:00:00,Unsafe working at height,Synthetic camera event,North Container Terminal,Workshop,Low,Synthetic unsafe working at height observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-12,New,True,42,SYN-EVID-0021,Low,Unassigned,2026-07-23
SE-0022,2026-07-19T20:00:00,Fatigue or excessive overtime,Operator observation,South Container Terminal,Reefer Stack,Medium,Synthetic fatigue or excessive overtime observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-15,Acknowledged,False,40,SYN-EVID-0022,Medium,Unassigned,2026-07-23
SE-0023,2026-07-19T16:00:00,Near miss,Sensor alarm,MV Horizon Star,Engine Room,High,Synthetic near miss observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-03,Under Review,False,67,SYN-EVID-0023,High,Unassigned,2026-07-23
SE-0024,2026-07-19T12:00:00,Equipment safety interlock alarm,Supervisor inspection,MV Meridian,Access Gate,Critical,Synthetic equipment safety interlock alarm observation for workflow demonstration,3,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-15,In Progress,False,91,SYN-EVID-0024,Critical,Unassigned,2026-07-23
SE-0025,2026-07-19T08:00:00,Missing PPE,Synthetic camera event,North Container Terminal,Berth 1,Low,Synthetic missing ppe observation for workflow demonstration,3,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-12,Closed,False,24,SYN-EVID-0025,Low,Unassigned,2026-07-23
