anomaly_id,timestamp,parameter_name,actual_reading,expected_baseline,lower_threshold,upper_threshold,is_detection_point
ANM-0001,2026-07-21T16:00:00,Exhaust temperature (°C),393.641,390.0,340.0,450.0,False
ANM-0001,2026-07-21T17:00:00,Exhaust temperature (°C),388.214,390.0,340.0,450.0,False
ANM-0001,2026-07-21T18:00:00,Exhaust temperature (°C),391.385,390.0,340.0,450.0,False
ANM-0001,2026-07-21T19:00:00,Exhaust temperature (°C),391.575,390.0,340.0,450.0,False
ANM-0001,2026-07-21T20:00:00,Exhaust temperature (°C),380.889,390.0,340.0,450.0,False
ANM-0001,2026-07-21T21:00:00,Exhaust temperature (°C),392.346,390.0,340.0,450.0,False
ANM-0001,2026-07-21T22:00:00,Exhaust temperature (°C),385.478,390.0,340.0,450.0,False
ANM-0001,2026-07-21T23:00:00,Exhaust temperature (°C),384.177,390.0,340.0,450.0,False
ANM-0001,2026-07-22T00:00:00,Exhaust temperature (°C),395.223,390.0,340.0,450.0,False
ANM-0001,2026-07-22T01:00:00,Exhaust temperature (°C),382.452,390.0,340.0,450.0,False
ANM-0001,2026-07-22T02:00:00,Exhaust temperature (°C),382.564,390.0,340.0,450.0,False
ANM-0001,2026-07-22T03:00:00,Exhaust temperature (°C),386.062,390.0,340.0,450.0,False
ANM-0001,2026-07-22T04:00:00,Exhaust temperature (°C),396.58,390.0,340.0,450.0,False
ANM-0001,2026-07-22T05:00:00,Exhaust temperature (°C),394.326,390.0,340.0,450.0,False
ANM-0001,2026-07-22T06:00:00,Exhaust temperature (°C),389.22,390.0,340.0,450.0,False
ANM-0001,2026-07-22T07:00:00,Exhaust temperature (°C),398.457,390.0,340.0,450.0,False
ANM-0001,2026-07-22T08:00:00,Exhaust temperature (°C),386.443,390.0,340.0,450.0,False
ANM-0001,2026-07-22T09:00:00,Exhaust temperature (°C),381.598,390.0,340.0,450.0,False
ANM-0001,2026-07-22T10:00:00,Exhaust temperature (°C),391.017,390.0,340.0,450.0,False
ANM-0001,2026-07-22T11:00:00,Exhaust temperature (°C),386.779,390.0,340.0,450.0,False
ANM-0001,2026-07-22T12:00:00,Exhaust temperature (°C),385.265,390.0,340.0,450.0,False
ANM-0001,2026-07-22T13:00:00,Exhaust temperature (°C),376.405,390.0,340.0,450.0,False
ANM-0001,2026-07-22T14:00:00,Exhaust temperature (°C),382.054,390.0,340.0,450.0,False
ANM-0001,2026-07-22T15:00:00,Exhaust temperature (°C),378.734,390.0,340.0,450.0,False
ANM-0001,2026-07-22T16:00:00,Exhaust temperature (°C),369.324,390.0,340.0,450.0,True
ANM-0002,2026-07-21T11:00:00,Jacket-water temperature (°C),82.274,82.0,72.0,92.0,False
ANM-0002,2026-07-21T12:00:00,Jacket-water temperature (°C),83.402,82.0,72.0,92.0,False
ANM-0002,2026-07-21T13:00:00,Jacket-water temperature (°C),81.611,82.0,72.0,92.0,False
ANM-0002,2026-07-21T14:00:00,Jacket-water temperature (°C),82.251,82.0,72.0,92.0,False
ANM-0002,2026-07-21T15:00:00,Jacket-water temperature (°C),82.915,82.0,72.0,92.0,False
ANM-0002,2026-07-21T16:00:00,Jacket-water temperature (°C),80.79,82.0,72.0,92.0,False
ANM-0002,2026-07-21T17:00:00,Jacket-water temperature (°C),81.483,82.0,72.0,92.0,False
ANM-0002,2026-07-21T18:00:00,Jacket-water temperature (°C),81.031,82.0,72.0,92.0,False
ANM-0002,2026-07-21T19:00:00,Jacket-water temperature (°C),81.455,82.0,72.0,92.0,False
ANM-0002,2026-07-21T20:00:00,Jacket-water temperature (°C),83.325,82.0,72.0,92.0,False
ANM-0002,2026-07-21T21:00:00,Jacket-water temperature (°C),82.689,82.0,72.0,92.0,False
ANM-0002,2026-07-21T22:00:00,Jacket-water temperature (°C),82.404,82.0,72.0,92.0,False
ANM-0002,2026-07-21T23:00:00,Jacket-water temperature (°C),82.32,82.0,72.0,92.0,False
ANM-0002,2026-07-22T00:00:00,Jacket-water temperature (°C),82.546,82.0,72.0,92.0,False
ANM-0002,2026-07-22T01:00:00,Jacket-water temperature (°C),83.397,82.0,72.0,92.0,False
ANM-0002,2026-07-22T02:00:00,Jacket-water temperature (°C),82.631,82.0,72.0,92.0,False
