_row_id,created_at,updated_at,vessel_id,vessel_name,vessel_type,imo_identifier,operational_status,current_location,departure_port,destination_port,latitude,longitude,destination,speed_knots,draft_metres,engine_load_percentage,fuel_consumption_tonnes_day,technical_health_score,open_anomalies,overdue_work_orders,safety_risk_level,planned_eta,predicted_eta,fuel_performance_status,risk_level,voyage_status
1,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-001,MV Horizon Star,Container Vessel,IMO9700100,Underway,Dubai Anchorage,Sohar,Jebel Ali,25.24,55.27,Jebel Ali,15.8,5.8,76,34.2,91,1,0,Low,2026-07-22T22:00:00,2026-07-23T02:00:00,Optimal,Low,On Schedule
2,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-002,MV Ocean Crest,Container Vessel,IMO9700137,In Port,Jebel Ali,Jebel Ali,Khalifa Port,24.99,55.05,Khalifa Port,0.0,6.4,12,5.1,84,0,0,Medium,2026-07-23T05:00:00,2026-07-23T09:00:00,Watch,Medium,In Port
3,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-003,MV Meridian,Bulk Carrier,IMO9700174,Underway,Strait of Hormuz,Khalifa Port,Singapore,26.28,56.34,Singapore,13.9,7.0,69,27.8,88,2,1,Low,2026-07-23T12:00:00,2026-07-23T16:00:00,Optimal,Low,On Schedule
4,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-004,MV Blue Mariner,Tugboat,IMO9700211,Delayed,Muscat,Muscat,Salalah,23.61,58.59,Salalah,9.2,7.7,88,14.6,58,4,2,Critical,2026-07-23T19:00:00,2026-07-23T23:00:00,Below target,Critical,Delayed
5,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-005,MV Atlas Wind,Offshore Service Vessel,IMO9700248,In Port,Mumbai,Mumbai,Khor Fakkan,19.08,72.88,Khor Fakkan,0.0,8.3,9,4.7,82,1,0,Low,2026-07-24T02:00:00,2026-07-24T06:00:00,Optimal,Low,In Port
6,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-006,MV Gulf Pioneer,Container Vessel,IMO9700285,Underway,Chennai,Khor Fakkan,Mumbai,12.97,80.24,Mumbai,16.1,8.9,81,36.4,76,3,1,Medium,2026-07-24T09:00:00,2026-07-24T13:00:00,Watch,Medium,Delayed
7,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-007,MV Seaway Pearl,Tugboat,IMO9700322,At Anchorage,Singapore,Singapore,Jeddah,1.26,103.84,Jeddah,5.8,9.5,48,9.8,86,0,0,Low,2026-07-24T16:00:00,2026-07-24T20:00:00,Optimal,Low,On Schedule
8,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-008,MV Northern Light,Bulk Carrier,IMO9700359,Under Maintenance,Khor Fakkan,Jeddah,Sohar,25.35,56.36,Sohar,0.0,10.1,5,3.2,54,5,3,High,2026-07-24T23:00:00,2026-07-25T03:00:00,Below target,High,Maintenance
9,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-009,MV Coral Bridge,Offshore Service Vessel,IMO9700396,In Port,Jeddah,Salalah,Port Klang,21.49,39.17,Port Klang,0.0,10.8,8,4.1,93,0,0,Low,2026-07-25T06:00:00,2026-07-25T10:00:00,Optimal,Low,In Port
10,2026-07-23 07:28:24,2026-07-23 07:28:24,VES-010,MV Eastern Venture,Container Vessel,IMO9700433,Off-Hire,Kuwait,Kuwait,Hamad Port,29.38,48.0,Hamad Port,0.0,11.4,3,2.8,68,2,1,Medium,2026-07-25T13:00:00,2026-07-25T17:00:00,Watch,Medium,Off-Hire
