asset_id,asset_name,equipment_type,terminal,health_score,predicted_failure_days,maintenance_due_days,maintenance_status,operating_hours
EQ-001,Ship-to-shore crane 01,Ship-to-shore crane,North Container Terminal,75,91,53,Scheduled,5121
EQ-002,Rubber-tyred gantry 02,Rubber-tyred gantry,North Container Terminal,72,69,39,Scheduled,9859
EQ-003,Terminal tractor 03,Terminal tractor,North Container Terminal,83,55,49,Complete,3918
EQ-004,Reach stacker 04,Reach stacker,North Container Terminal,85,151,-4,Open,12037
EQ-005,Ship-to-shore crane 05,Ship-to-shore crane,North Container Terminal,84,149,45,Open,10241
EQ-006,Rubber-tyred gantry 06,Rubber-tyred gantry,North Container Terminal,83,103,41,Open,4968
EQ-007,Terminal tractor 07,Terminal tractor,North Container Terminal,56,24,31,Scheduled,7441
EQ-008,Reach stacker 08,Reach stacker,North Container Terminal,94,108,32,Scheduled,1706
EQ-009,Ship-to-shore crane 09,Ship-to-shore crane,North Container Terminal,89,55,11,Monitoring,2757
EQ-010,Rubber-tyred gantry 10,Rubber-tyred gantry,North Container Terminal,68,98,38,Scheduled,10100
EQ-011,Terminal tractor 11,Terminal tractor,North Container Terminal,68,103,50,Scheduled,8887
EQ-012,Reach stacker 12,Reach stacker,North Container Terminal,96,46,44,Scheduled,9014
EQ-013,Ship-to-shore crane 13,Ship-to-shore crane,North Container Terminal,88,127,32,Open,8728
EQ-014,Rubber-tyred gantry 14,Rubber-tyred gantry,North Container Terminal,93,48,31,Open,12010
EQ-015,Terminal tractor 15,Terminal tractor,North Container Terminal,70,79,34,Scheduled,1619
EQ-016,Reach stacker 16,Reach stacker,North Container Terminal,70,85,23,Open,14565
EQ-017,Ship-to-shore crane 17,Ship-to-shore crane,North Container Terminal,94,66,13,Monitoring,6755
EQ-018,Rubber-tyred gantry 18,Rubber-tyred gantry,North Container Terminal,85,178,50,Open,1671
EQ-019,Terminal tractor 19,Terminal tractor,North Container Terminal,90,68,48,Monitoring,1992
EQ-020,Reach stacker 20,Reach stacker,North Container Terminal,39,25,14,Complete,13680
EQ-021,Ship-to-shore crane 21,Ship-to-shore crane,South Container Terminal,96,77,23,Scheduled,10202
EQ-022,Rubber-tyred gantry 22,Rubber-tyred gantry,South Container Terminal,95,53,31,Open,8068
EQ-023,Terminal tractor 23,Terminal tractor,South Container Terminal,75,148,59,Monitoring,10234
EQ-024,Reach stacker 24,Reach stacker,South Container Terminal,55,16,22,Complete,6884
EQ-025,Ship-to-shore crane 25,Ship-to-shore crane,South Container Terminal,43,25,16,Complete,3470
EQ-026,Rubber-tyred gantry 26,Rubber-tyred gantry,South Container Terminal,51,15,-3,Open,2643
EQ-027,Terminal tractor 27,Terminal tractor,South Container Terminal,69,48,45,Open,11024
EQ-028,Reach stacker 28,Reach stacker,South Container Terminal,94,136,25,Complete,10951
EQ-029,Ship-to-shore crane 29,Ship-to-shore crane,South Container Terminal,90,58,53,Scheduled,8014
EQ-030,Rubber-tyred gantry 30,Rubber-tyred gantry,South Container Terminal,89,171,5,Scheduled,7963
EQ-031,Terminal tractor 31,Terminal tractor,South Container Terminal,98,135,27,Monitoring,7267
EQ-032,Reach stacker 32,Reach stacker,South Container Terminal,93,59,20,Scheduled,4447
EQ-033,Ship-to-shore crane 33,Ship-to-shore crane,South Container Terminal,62,78,39,Complete,9771
EQ-034,Rubber-tyred gantry 34,Rubber-tyred gantry,South Container Terminal,76,123,19,Complete,14251
EQ-035,Terminal tractor 35,Terminal tractor,South Container Terminal,97,47,17,Complete,2804
EQ-036,Reach stacker 36,Reach stacker,South Container Terminal,90,84,57,Scheduled,6181
EQ-037,Ship-to-shore crane 37,Ship-to-shore crane,South Container Terminal,95,166,27,Monitoring,10716
EQ-038,Rubber-tyred gantry 38,Rubber-tyred gantry,South Container Terminal,83,101,13,Scheduled,11593
EQ-039,Terminal tractor 39,Terminal tractor,South Container Terminal,65,175,12,Monitoring,11791
EQ-040,Reach stacker 40,Reach stacker,South Container Terminal,89,72,41,Scheduled,11930
